
Host: skystd27.palmetto.clemson.edu

Timers On : Sat Dec 11 17:32:13 2021
Timers Off: Sat Dec 11 17:34:01 2021

Wall Time:      107.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DFMP2 Gia Read                    :      0.000u      0.033s      0.017w      1 calls
| DFMP2 Cia Read                    :      0.000u      0.017s      0.017w      1 calls
| DFMP2 g                           :      0.350u      0.000s      0.209w      1 calls
DFMP2 Gia                           :      0.050u      0.150s      0.126w      1 calls
| DFMP2 Gia Read                    :      0.000u      0.033s      0.019w      1 calls
| DFMP2 aiG Write                   :      0.000u      0.050s      0.026w      1 calls
DFMP2 AB^x                          :      0.117u      0.000s      0.070w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
DFMP2 Amn^x                         :     13.367u      0.183s      8.166w      1 calls
| Libint2ERI::Libint2ERI            :      0.183u      0.000s      0.108w      1 calls
DFMP2 L                             :      6.317u      0.200s      3.932w      1 calls
| Libint2ERI::Libint2ERI            :      0.167u      0.000s      0.104w      1 calls
DFMP2 P                             :      0.000u      0.000s      0.002w      1 calls
DFMP2 W                             :      0.000u      0.000s      0.002w      1 calls
DFMP2 Z                             :     57.033u      1.033s     35.008w      1 calls
| DFH: sparsity prep                :      0.350u      0.000s      0.207w      1 calls
| | Libint2ERI::Libint2ERI          :      0.183u      0.000s      0.107w      1 calls
| Libint2ERI::Libint2ERI            :      0.333u      0.000s      0.205w      2 calls
| JK: (A|mn)                        :      4.583u      0.000s      2.760w      1 calls
| JK: (A|Q)^-1/2                    :      1.017u      0.017s      0.612w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JK: (Q|mn)                        :      2.200u      0.000s      1.328w      1 calls
| JK: D                             :      0.000u      0.000s      0.004w     16 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     16 calls
| JK: JK                            :     48.433u      0.900s     29.732w     16 calls
| | JK: J                           :      1.417u      0.000s      0.865w     32 calls
| | | JK: J1                        :      0.683u      0.000s      0.426w     36 calls
| | | JK: J2                        :      0.717u      0.000s      0.428w     36 calls
| | JK: K                           :     46.750u      0.000s     28.201w     32 calls
| | | JK: K1                        :     42.350u      0.000s     25.513w     64 calls
| | | JK: K2                        :      4.400u      0.000s      2.685w     36 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     16 calls
DFMP2 grad                          :     29.100u      0.683s     17.933w      1 calls
| Grad: V T Perturb                 :      2.050u      0.000s      1.238w      1 calls
| Grad: S                           :      0.017u      0.000s      0.009w      1 calls
| Grad: JK                          :     27.000u      0.683s     16.668w      1 calls
| | CorrGrad: Amn                   :      7.050u      0.233s      4.377w      1 calls
| | | Libint2ERI::Libint2ERI        :      0.167u      0.000s      0.099w      1 calls
| | CorrGrad: AB                    :      1.567u      0.133s      1.032w      1 calls
| | | Libint2ERI::Libint2ERI        :      0.017u      0.000s      0.000w      1 calls
| | CorrGrad: UV                    :      0.667u      0.150s      0.489w      1 calls
| | CorrGrad: ABx                   :      0.217u      0.000s      0.129w      1 calls
| | | Libint2ERI::Libint2ERI        :      0.000u      0.000s      0.000w      1 calls
| | CorrGrad: Amnx                  :     17.500u      0.150s     10.633w      1 calls
| | | Libint2ERI::Libint2ERI        :      0.167u      0.000s      0.099w      1 calls

**************************************************************************************
