
Host: skystd27.palmetto.clemson.edu

Timers On : Wed Dec  8 22:18:42 2021
Timers Off: Thu Dec  9 08:07:24 2021

Wall Time:    35321.71 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | Libint2ERI::Libint2ERI          :     33.900u      1.733s     21.542w     75 calls
| DFH: initialize()                 :   3022.633u    113.817s   1888.208w     75 calls
| | Libint2ERI::Libint2ERI          :     32.833u      1.000s     20.324w    150 calls
| | DFH: AO Construction            :   1284.700u     36.100s    794.933w     75 calls
| | DFH: AO-Met. Contraction        :   1581.967u     72.533s    996.189w     75 calls
| JK: D                             :      3.483u      0.017s      2.214w   1247 calls
| JK: USO2AO                        :      1.550u      0.000s      1.086w   1247 calls
| JK: JK                            :   9715.467u    345.767s   6058.419w   1247 calls
| | DFH: compute_JK()               :   9715.450u    345.750s   6058.411w   1247 calls
| | | DFH: Grabbing AOs             :      0.017u      0.000s      0.003w   1247 calls
| | | DFH: compute_J                :   1043.983u      0.317s    628.774w   1247 calls
| | | DFH: compute_K                :   8592.683u      2.417s   5176.180w   1247 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w   1247 calls
DFMP2 grad                          :  10087.767u    322.550s   6266.434w     75 calls
| Grad: V T Perturb                 :    547.567u      0.133s    329.525w     75 calls
| Grad: S                           :      3.533u      0.017s      2.064w     75 calls
| Grad: JK                          :   9513.200u    321.967s   5920.400w     75 calls
| | CorrGrad: Amn                   :   2123.783u    130.550s   1356.844w     75 calls
| | | Libint2ERI::Libint2ERI        :     33.000u      0.883s     20.379w     75 calls
| | CorrGrad: AB                    :    333.050u     38.383s    223.594w     75 calls
| | | Libint2ERI::Libint2ERI        :      0.050u      0.000s      0.018w     75 calls
| | CorrGrad: UV                    :    215.133u     37.083s    151.873w     75 calls
| | CorrGrad: ABx                   :     21.600u      0.617s     13.381w     75 calls
| | | Libint2ERI::Libint2ERI        :      0.017u      0.000s      0.020w     75 calls
| | CorrGrad: Amnx                  :   6819.533u    112.867s   4172.963w     75 calls
| | | Libint2ERI::Libint2ERI        :     32.867u      0.850s     20.338w     75 calls

**************************************************************************************
