
Host: skystd28.palmetto.clemson.edu

Timers On : Thu Nov 25 23:43:27 2021
Timers Off: Fri Nov 26 01:32:41 2021

Wall Time:     6554.21 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DFMP2 T2                          :     69.133u      0.000s     41.753w    350 calls
| DFMP2 Pij                         :     30.317u      0.000s     18.340w    350 calls
DFMP2 gamma                         :     26.767u      4.650s     18.930w     14 calls
| DFMP2 Gia Read                    :      0.000u      1.367s      0.818w     28 calls
| DFMP2 Cia Read                    :      0.000u      1.233s      0.801w     28 calls
| DFMP2 g                           :     26.267u      0.000s     15.798w     28 calls
DFMP2 Gia                           :      4.483u      7.067s      6.994w     14 calls
| DFMP2 Gia Read                    :      0.050u      1.517s      0.887w     14 calls
| DFMP2 aiG Write                   :      0.083u      1.683s      1.093w     14 calls
DFMP2 AB^x                          :      3.083u      0.083s      1.928w     14 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w     14 calls
DFMP2 Amn^x                         :    953.850u      3.033s    576.191w     14 calls
| Libint2ERI::Libint2ERI            :      4.017u      0.000s      2.381w     14 calls
DFMP2 L                             :    482.400u      3.317s    292.457w     14 calls
| Libint2ERI::Libint2ERI            :      3.967u      0.000s      2.381w     14 calls
DFMP2 P                             :      0.017u      0.083s      0.062w     14 calls
DFMP2 W                             :      0.200u      0.017s      0.142w     14 calls
DFMP2 Z                             :   3797.400u    197.833s   2414.276w     14 calls
| DFH: sparsity prep                :      8.117u      0.000s      4.882w     14 calls
| | Libint2ERI::Libint2ERI          :      4.233u      0.000s      2.565w     14 calls
| Libint2ERI::Libint2ERI            :      7.967u      0.000s      4.840w     28 calls
| JK: (A|Q)^-1                      :     19.517u     14.550s     12.689w     14 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.004w     14 calls
| JK: (A|mn)                        :    225.500u      0.000s    135.698w     70 calls
| JK: (Q|mn)                        :    184.850u      0.000s    111.348w     70 calls
| JK: (Q|mn) Write                  :      0.333u     12.000s      7.409w     70 calls
| JK: D                             :      0.667u      0.000s      0.314w    222 calls
| JK: USO2AO                        :      0.150u      0.017s      0.163w    222 calls
| JK: JK                            :   3337.017u    167.517s   2111.224w    222 calls
| | JK: (Q|mn) Read                 :      2.700u    144.617s     88.683w   1500 calls
| | JK: J                           :    113.367u      0.150s     68.791w   1500 calls
| | | JK: J1                        :     54.100u      0.033s     32.752w   1836 calls
| | | JK: J2                        :     54.100u      0.000s     33.044w   1836 calls
| | JK: K                           :   3213.467u      0.067s   1935.372w   1500 calls
| | | JK: K1                        :   2749.583u      0.050s   1656.119w   3000 calls
| | | JK: K2                        :    462.900u      0.017s    278.644w   1836 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    222 calls
DFMP2 grad                          :   1497.667u     19.817s    913.880w     14 calls
| Grad: V T Perturb                 :     85.000u      0.000s     51.146w     14 calls
| Grad: S                           :      0.600u      0.000s      0.352w     14 calls
| Grad: JK                          :   1408.367u     19.750s    860.080w     14 calls
| | CorrGrad: Amn                   :    306.350u      5.367s    187.622w     14 calls
| | | Libint2ERI::Libint2ERI        :      4.133u      0.000s      2.488w     14 calls
| | CorrGrad: AB                    :     46.933u      5.033s     31.303w     14 calls
| | | Libint2ERI::Libint2ERI        :      0.000u      0.000s      0.003w     14 calls
| | CorrGrad: UV                    :     29.733u      6.067s     21.572w     14 calls
| | CorrGrad: ABx                   :      3.583u      0.133s      2.208w     14 calls
| | | Libint2ERI::Libint2ERI        :      0.000u      0.000s      0.004w     14 calls
| | CorrGrad: Amnx                  :   1021.767u      2.783s    617.120w     14 calls
| | | Libint2ERI::Libint2ERI        :      4.017u      0.000s      2.418w     14 calls

**************************************************************************************
