
Host: skystd27.palmetto.clemson.edu

Timers On : Sat Dec 11 17:47:44 2021
Timers Off: Sat Dec 11 18:53:10 2021

Wall Time:     3925.62 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | | JK: K2                        :    257.183u      0.067s    155.006w    924 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    112 calls
DFMP2 grad                          :    825.300u     10.750s    503.717w      7 calls
| Grad: V T Perturb                 :     44.050u      0.000s     26.529w      7 calls
| Grad: S                           :      0.300u      0.000s      0.179w      7 calls
| Grad: JK                          :    778.950u     10.683s    475.779w      7 calls
| | CorrGrad: Amn                   :    170.250u      2.900s    104.330w      7 calls
| | | Libint2ERI::Libint2ERI        :      2.167u      0.000s      1.306w      7 calls
| | CorrGrad: AB                    :     25.950u      2.733s     17.276w      7 calls
| | | Libint2ERI::Libint2ERI        :      0.000u      0.000s      0.002w      7 calls
| | CorrGrad: UV                    :     15.917u      3.283s     11.588w      7 calls
| | CorrGrad: ABx                   :      2.133u      0.067s      1.307w      7 calls
| | | Libint2ERI::Libint2ERI        :      0.000u      0.000s      0.002w      7 calls
| | CorrGrad: Amnx                  :    564.683u      1.517s    341.136w      7 calls
| | | Libint2ERI::Libint2ERI        :      2.333u      0.000s      1.406w      7 calls

**************************************************************************************
