
Host: skystd21.palmetto.clemson.edu

Timers On : Sat Dec 11 02:56:13 2021
Timers Off: Sat Dec 11 15:37:27 2021

Wall Time:    45673.29 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFMP2 AB^x                          :     16.733u      0.600s     10.369w     54 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.017w     54 calls
DFMP2 Amn^x                         :   6794.850u    146.833s   4177.535w     54 calls
| Libint2ERI::Libint2ERI            :     21.683u      0.000s     13.088w     54 calls
DFMP2 L                             :   4358.867u    257.333s   2777.470w     54 calls
| Libint2ERI::Libint2ERI            :     21.767u      0.000s     13.059w     54 calls
DFMP2 P                             :      0.217u      0.183s      0.304w     54 calls
DFMP2 W                             :      1.200u      0.250s      0.960w     54 calls
DFMP2 Z                             :  16682.350u    570.050s  10380.771w     54 calls
| DFH: sparsity prep                :     43.583u      0.000s     26.211w     54 calls
| | Libint2ERI::Libint2ERI          :     22.650u      0.000s     13.675w     54 calls
| DFH: initialize()                 :   3302.650u    133.383s   2067.180w     54 calls
| | Libint2ERI::Libint2ERI          :     21.733u      0.000s     13.108w    108 calls
| | DFH: AO Construction            :   1135.933u     43.100s    709.176w     54 calls
| | DFH: AO-Met. Contraction        :   2001.583u     85.850s   1256.219w     54 calls
| JK: D                             :      4.200u      0.033s      2.627w    900 calls
| JK: USO2AO                        :      1.417u      0.033s      0.686w    900 calls
| JK: JK                            :  13254.550u    435.067s   8237.269w    900 calls
| | DFH: compute_JK()               :  13254.533u    435.067s   8237.264w    900 calls
| | | DFH: Grabbing AOs             :      0.017u      0.000s      0.002w    900 calls
| | | DFH: compute_J                :    886.650u      0.650s    535.509w    900 calls
| | | DFH: compute_K                :  12303.700u      1.367s   7401.616w    900 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    900 calls
DFMP2 grad                          :  11054.033u    392.683s   6899.486w     54 calls
| Grad: V T Perturb                 :    552.183u      0.000s    331.977w     54 calls
| Grad: S                           :      2.733u      0.000s      1.648w     54 calls
| Grad: JK                          :  10474.717u    392.333s   6550.934w     54 calls
| | CorrGrad: Amn                   :   2565.067u    161.817s   1644.341w     54 calls
| | | Libint2ERI::Libint2ERI        :     21.700u      0.000s     13.082w     54 calls
| | CorrGrad: AB                    :    469.067u     42.067s    315.453w     54 calls
| | | Libint2ERI::Libint2ERI        :      0.000u      0.000s      0.015w     54 calls
| | CorrGrad: UV                    :    319.250u     40.617s    216.688w     54 calls
| | CorrGrad: ABx                   :     19.917u      0.633s     12.430w     54 calls
| | | Libint2ERI::Libint2ERI        :      0.017u      0.000s      0.016w     54 calls
| | CorrGrad: Amnx                  :   7101.383u    145.267s   4360.620w     54 calls
| | | Libint2ERI::Libint2ERI        :     21.667u      0.000s     13.072w     54 calls

**************************************************************************************
