
Host: skystd33.palmetto.clemson.edu

Timers On : Thu Nov 25 23:15:39 2021
Timers Off: Sat Nov 27 00:21:21 2021

Wall Time:    90342.42 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DFMP2 T2                          :   1465.450u      0.500s    882.363w    198 calls
| DFMP2 Pij                         :    744.517u      0.133s    448.309w    198 calls
DFMP2 gamma                         :    517.067u     90.750s    366.066w    198 calls
| DFMP2 Gia Read                    :      0.417u     23.833s     14.673w    198 calls
| DFMP2 Cia Read                    :      0.400u     26.367s     16.089w    198 calls
| DFMP2 g                           :    507.167u      0.100s    305.420w    198 calls
DFMP2 Gia                           :     79.383u    133.650s    128.360w    198 calls
| DFMP2 Gia Read                    :      0.367u     25.733s     15.849w    198 calls
| DFMP2 aiG Write                   :      1.067u     35.317s     21.751w    198 calls
DFMP2 AB^x                          :     47.467u      1.550s     29.689w    198 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.017s      0.060w    198 calls
DFMP2 Amn^x                         :  16816.400u    307.600s  10305.636w    198 calls
| Libint2ERI::Libint2ERI            :     82.283u      2.300s     50.807w    198 calls
DFMP2 L                             :   8300.167u    526.567s   5312.750w    198 calls
| Libint2ERI::Libint2ERI            :     81.483u      2.000s     50.313w    198 calls
DFMP2 P                             :      0.667u      0.633s      0.882w    198 calls
DFMP2 W                             :      2.550u      0.717s      2.123w    198 calls
DFMP2 Z                             :  31451.017u   1227.633s  19673.791w    198 calls
| DFH: sparsity prep                :    163.017u      4.467s    100.859w    198 calls
| | Libint2ERI::Libint2ERI          :     84.983u      4.417s     53.835w    198 calls
| DFH: initialize()                 :   7548.500u    307.417s   4728.570w    198 calls
| | Libint2ERI::Libint2ERI          :     81.667u      2.467s     50.564w    396 calls
| | DFH: AO Construction            :   3198.900u     97.450s   1983.466w    198 calls
| | DFH: AO-Met. Contraction        :   3955.250u    197.150s   2499.932w    198 calls
| JK: D                             :      9.050u      0.067s      5.434w   3172 calls
| JK: USO2AO                        :      4.417u      0.267s      2.732w   3172 calls
| JK: JK                            :  23511.650u    910.250s  14703.053w   3172 calls
| | DFH: compute_JK()               :  23511.583u    910.250s  14703.037w   3172 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.006w   3172 calls
| | | DFH: compute_J                :   2473.183u      1.033s   1489.052w   3172 calls
| | | DFH: compute_K                :  20840.667u      1.517s  12548.858w   3172 calls
| JK: AO2USO                        :      0.000u      0.000s      0.004w   3172 calls
DFMP2 grad                          :  25761.683u    854.950s  16019.710w    198 calls
| Grad: V T Perturb                 :   1360.533u      0.317s    818.391w    198 calls
| Grad: S                           :      8.550u      0.017s      5.151w    198 calls
| Grad: JK                          :  24333.167u    853.583s  15159.671w    198 calls
| | CorrGrad: Amn                   :   5324.900u    347.283s   3413.139w    198 calls
| | | Libint2ERI::Libint2ERI        :     81.483u      2.467s     50.364w    198 calls
| | CorrGrad: AB                    :    838.300u     99.300s    564.544w    198 calls
| | | Libint2ERI::Libint2ERI        :      0.017u      0.000s      0.044w    198 calls
| | CorrGrad: UV                    :    537.550u     96.050s    381.491w    198 calls
| | CorrGrad: ABx                   :     54.250u      1.333s     33.494w    198 calls
| | | Libint2ERI::Libint2ERI        :      0.083u      0.000s      0.053w    198 calls
| | CorrGrad: Amnx                  :  17578.033u    304.083s  10763.069w    198 calls
| | | Libint2ERI::Libint2ERI        :     81.067u      2.383s     50.237w    198 calls

**************************************************************************************
